2026-07-27 21:45:35 | IP:127.0.0.1 | METHOD:GET | PATH:/ | TYPE:BROWSING | DETAILS:Attacker visited the page.
2026-07-27 21:45:35 | IP:127.0.0.1 | METHOD:GET | PATH:/favicon.ico | TYPE:BROWSING | DETAILS:Attacker visited the page.
2026-07-27 21:45:45 | IP:127.0.0.1 | METHOD:POST | PATH:/login | TYPE:CREDENTIAL_STUFFING | DETAILS:Payload submitted: {"username": ["admin"], "password": ["hacker123"]}
2026-07-27 21:45:45 | IP:127.0.0.1 | METHOD:GET | PATH:/?error=invalid_credentials | TYPE:BROWSING | DETAILS:Attacker visited the page.
2026-07-27 21:50:35 | IP:127.0.0.1 | METHOD:GET | PATH:/?error=invalid_credentials | TYPE:BROWSING | TAGS:[RECONNAISSANCE] | DETAILS:Visited page
2026-07-27 21:50:37 | IP:127.0.0.1 | METHOD:GET | PATH:/?error=invalid_credentials | TYPE:BROWSING | TAGS:[RECONNAISSANCE] | DETAILS:Visited page
2026-07-27 21:50:43 | IP:127.0.0.1 | METHOD:GET | PATH:/?error=invalid_credentials | TYPE:BROWSING | TAGS:[RECONNAISSANCE] | DETAILS:Visited page
2026-07-27 21:50:48 | IP:127.0.0.1 | METHOD:GET | PATH:/ | TYPE:BROWSING | TAGS:[RECONNAISSANCE] | DETAILS:Visited page
2026-07-27 21:51:04 | IP:127.0.0.1 | METHOD:GET | PATH:/?search= | TYPE:BROWSING | TAGS:[RECONNAISSANCE] | DETAILS:Visited page
2026-07-27 21:51:04 | IP:127.0.0.1 | METHOD:GET | PATH:/favicon.ico | TYPE:BROWSING | TAGS:[RECONNAISSANCE] | DETAILS:Visited page
2026-07-27 21:51:04 | IP:127.0.0.1 | METHOD:GET | PATH:/?search= | TYPE:BROWSING | TAGS:[RECONNAISSANCE] | DETAILS:Visited page
2026-07-27 21:51:05 | IP:127.0.0.1 | METHOD:GET | PATH:/favicon.ico | TYPE:BROWSING | TAGS:[RECONNAISSANCE] | DETAILS:Visited page
2026-07-27 21:51:28 | IP:127.0.0.1 | METHOD:GET | PATH:/?search=%3Cscript%3Eprompt(1)%3C/script%3E | TYPE:MALICIOUS_GET | TAGS:[XSS_SCRIPTING] | DETAILS:Path Traversal or Payload in URL
2026-07-27 21:51:33 | IP:127.0.0.1 | METHOD:GET | PATH:/favicon.ico | TYPE:BROWSING | TAGS:[RECONNAISSANCE] | DETAILS:Visited page
2026-07-27 21:58:00 | IP:172.24.58.154 | METHOD:GET | PATH:/ | TYPE:RECONNAISSANCE | TAGS:[SCAN] | DETAILS:Visited entry page
2026-07-27 21:58:00 | IP:172.24.58.154 | METHOD:GET | PATH:/favicon.ico | TYPE:RECONNAISSANCE | TAGS:[SCAN] | DETAILS:Visited entry page
2026-07-27 21:58:10 | IP:127.0.0.1 | METHOD:POST | PATH:/auth | TYPE:CREDENTIAL_STUFFING | TAGS:[BRUTEFORCE] | DETAILS:Attempt: username=admin, password=hacked123
2026-07-27 21:58:10 | IP:127.0.0.1 | METHOD:GET | PATH:/?search=<script>alert(1)</script> | TYPE:MALICIOUS_GET | TAGS:[XSS_SCRIPTING] | DETAILS:Path Traversal/Payload Detected
2026-07-27 21:58:24 | IP:172.24.58.154 | METHOD:POST | PATH:/auth | TYPE:CREDENTIAL_STUFFING | TAGS:[BRUTEFORCE] | DETAILS:Attempt: username=Admin, password=hacker123
2026-07-27 21:58:24 | IP:172.24.58.154 | METHOD:GET | PATH:/?error=invalid_credentials | TYPE:RECONNAISSANCE | TAGS:[SCAN] | DETAILS:Visited entry page
2026-07-27 21:58:25 | IP:172.24.58.154 | METHOD:GET | PATH:/favicon.ico | TYPE:RECONNAISSANCE | TAGS:[SCAN] | DETAILS:Visited entry page
